MTU (CET);Day-ahead Price [EUR/MWh]
01.01.2020 00:00 - 01.01.2020 01:00;41,88
01.01.2020 01:00 - 01.01.2020 02:00;38,6
01.01.2020 02:00 - 01.01.2020 03:00;36,55
01.01.2020 03:00 - 01.01.2020 04:00;32,32
01.01.2020 04:00 - 01.01.2020 05:00;30,85
01.01.2020 05:00 - 01.01.2020 06:00;30,14
01.01.2020 06:00 - 01.01.2020 07:00;30,17
01.01.2020 07:00 - 01.01.2020 08:00;30
01.01.2020 08:00 - 01.01.2020 09:00;30,65
01.01.2020 09:00 - 01.01.2020 10:00;30,65
01.01.2020 10:00 - 01.01.2020 11:00;30,27
01.01.2020 11:00 - 01.01.2020 12:00;30,34
01.01.2020 12:00 - 01.01.2020 13:00;30,99
01.01.2020 13:00 - 01.01.2020 14:00;30,04
01.01.2020 14:00 - 01.01.2020 15:00;30,75
01.01.2020 15:00 - 01.01.2020 16:00;32,11
01.01.2020 16:00 - 01.01.2020 17:00;35,98
01.01.2020 17:00 - 01.01.2020 18:00;40,4
01.01.2020 18:00 - 01.01.2020 19:00;44,05
01.01.2020 19:00 - 01.01.2020 20:00;46,16
01.01.2020 20:00 - 01.01.2020 21:00;44,02
01.01.2020 21:00 - 01.01.2020 22:00;40,68
01.01.2020 22:00 - 01.01.2020 23:00;40,66
01.01.2020 23:00 - 02.01.2020 00:00;36,69
02.01.2020 00:00 - 02.01.2020 01:00;35,4
02.01.2020 01:00 - 02.01.2020 02:00;31,98
02.01.2020 02:00 - 02.01.2020 03:00;30,5
02.01.2020 03:00 - 02.01.2020 04:00;28,79
02.01.2020 04:00 - 02.01.2020 05:00;28,42
02.01.2020 05:00 - 02.01.2020 06:00;28,75
02.01.2020 06:00 - 02.01.2020 07:00;34,16
02.01.2020 07:00 - 02.01.2020 08:00;42,07
02.01.2020 08:00 - 02.01.2020 09:00;44,89
02.01.2020 09:00 - 02.01.2020 10:00;45,26
02.01.2020 10:00 - 02.01.2020 11:00;45,57
02.01.2020 11:00 - 02.01.2020 12:00;45,09
02.01.2020 12:00 - 02.01.2020 13:00;45,16
02.01.2020 13:00 - 02.01.2020 14:00;44,9
02.01.2020 14:00 - 02.01.2020 15:00;44,06
02.01.2020 15:00 - 02.01.2020 16:00;43,94
02.01.2020 16:00 - 02.01.2020 17:00;44,37
02.01.2020 17:00 - 02.01.2020 18:00;46,05
02.01.2020 18:00 - 02.01.2020 19:00;46,72
02.01.2020 19:00 - 02.01.2020 20:00;46,11
02.01.2020 20:00 - 02.01.2020 21:00;43,7
02.01.2020 21:00 - 02.01.2020 22:00;34,76
02.01.2020 22:00 - 02.01.2020 23:00;33,02
02.01.2020 23:00 - 03.01.2020 00:00;33,39
03.01.2020 00:00 - 03.01.2020 01:00;32,05
03.01.2020 01:00 - 03.01.2020 02:00;30,75
03.01.2020 02:00 - 03.01.2020 03:00;29,03
03.01.2020 03:00 - 03.01.2020 04:00;24,96
03.01.2020 04:00 - 03.01.2020 05:00;22,56
03.01.2020 05:00 - 03.01.2020 06:00;26,16
03.01.2020 06:00 - 03.01.2020 07:00;31,21
03.01.2020 07:00 - 03.01.2020 08:00;36,73
03.01.2020 08:00 - 03.01.2020 09:00;40,7
03.01.2020 09:00 - 03.01.2020 10:00;44,18
03.01.2020 10:00 - 03.01.2020 11:00;44,05
03.01.2020 11:00 - 03.01.2020 12:00;41,92
03.01.2020 12:00 - 03.01.2020 13:00;41,6
03.01.2020 13:00 - 03.01.2020 14:00;39,23
03.01.2020 14:00 - 03.01.2020 15:00;39,04
03.01.2020 15:00 - 03.01.2020 16:00;38,41
03.01.2020 16:00 - 03.01.2020 17:00;38,91
03.01.2020 17:00 - 03.01.2020 18:00;43,51
03.01.2020 18:00 - 03.01.2020 19:00;45,2
03.01.2020 19:00 - 03.01.2020 20:00;45,15
03.01.2020 20:00 - 03.01.2020 21:00;39,35
03.01.2020 21:00 - 03.01.2020 22:00;32,34
03.01.2020 22:00 - 03.01.2020 23:00;39,15
03.01.2020 23:00 - 04.01.2020 00:00;37,85
04.01.2020 00:00 - 04.01.2020 01:00;34,81
04.01.2020 01:00 - 04.01.2020 02:00;32,05
04.01.2020 02:00 - 04.01.2020 03:00;30,14
04.01.2020 03:00 - 04.01.2020 04:00;28,55
04.01.2020 04:00 - 04.01.2020 05:00;26,24
04.01.2020 05:00 - 04.01.2020 06:00;27,55
04.01.2020 06:00 - 04.01.2020 07:00;27,16
04.01.2020 07:00 - 04.01.2020 08:00;28,79
04.01.2020 08:00 - 04.01.2020 09:00;31,83
04.01.2020 09:00 - 04.01.2020 10:00;36,67
04.01.2020 10:00 - 04.01.2020 11:00;39,57
04.01.2020 11:00 - 04.01.2020 12:00;36,11
04.01.2020 12:00 - 04.01.2020 13:00;34,77
04.01.2020 13:00 - 04.01.2020 14:00;32,07
04.01.2020 14:00 - 04.01.2020 15:00;31,83
04.01.2020 15:00 - 04.01.2020 16:00;31,95
04.01.2020 16:00 - 04.01.2020 17:00;32,25
04.01.2020 17:00 - 04.01.2020 18:00;41,81
04.01.2020 18:00 - 04.01.2020 19:00;44,24
04.01.2020 19:00 - 04.01.2020 20:00;44
04.01.2020 20:00 - 04.01.2020 21:00;39,53
04.01.2020 21:00 - 04.01.2020 22:00;34,46
04.01.2020 22:00 - 04.01.2020 23:00;39,75
04.01.2020 23:00 - 05.01.2020 00:00;37,95
05.01.2020 00:00 - 05.01.2020 01:00;33,1
05.01.2020 01:00 - 05.01.2020 02:00;32,28
05.01.2020 02:00 - 05.01.2020 03:00;31,18
05.01.2020 03:00 - 05.01.2020 04:00;30,1
05.01.2020 04:00 - 05.01.2020 05:00;29,96
05.01.2020 05:00 - 05.01.2020 06:00;29,88
05.01.2020 06:00 - 05.01.2020 07:00;30,38
05.01.2020 07:00 - 05.01.2020 08:00;31,15
05.01.2020 08:00 - 05.01.2020 09:00;32,09
05.01.2020 09:00 - 05.01.2020 10:00;34,27
05.01.2020 10:00 - 05.01.2020 11:00;37,53
05.01.2020 11:00 - 05.01.2020 12:00;38,99
05.01.2020 12:00 - 05.01.2020 13:00;38,15
05.01.2020 13:00 - 05.01.2020 14:00;35,37
05.01.2020 14:00 - 05.01.2020 15:00;34,44
05.01.2020 15:00 - 05.01.2020 16:00;36,1
05.01.2020 16:00 - 05.01.2020 17:00;40,59
05.01.2020 17:00 - 05.01.2020 18:00;44,68
05.01.2020 18:00 - 05.01.2020 19:00;46,16
05.01.2020 19:00 - 05.01.2020 20:00;45,64
05.01.2020 20:00 - 05.01.2020 21:00;42,68
05.01.2020 21:00 - 05.01.2020 22:00;37,26
05.01.2020 22:00 - 05.01.2020 23:00;37,57
05.01.2020 23:00 - 06.01.2020 00:00;35,54
06.01.2020 00:00 - 06.01.2020 01:00;29,16
06.01.2020 01:00 - 06.01.2020 02:00;29
06.01.2020 02:00 - 06.01.2020 03:00;29,08
06.01.2020 03:00 - 06.01.2020 04:00;27,72
06.01.2020 04:00 - 06.01.2020 05:00;27,03
06.01.2020 05:00 - 06.01.2020 06:00;28,98
06.01.2020 06:00 - 06.01.2020 07:00;33,18
06.01.2020 07:00 - 06.01.2020 08:00;43,13
06.01.2020 08:00 - 06.01.2020 09:00;44,52
06.01.2020 09:00 - 06.01.2020 10:00;44,96
06.01.2020 10:00 - 06.01.2020 11:00;44
06.01.2020 11:00 - 06.01.2020 12:00;42,46
06.01.2020 12:00 - 06.01.2020 13:00;41,3
06.01.2020 13:00 - 06.01.2020 14:00;40,51
06.01.2020 14:00 - 06.01.2020 15:00;41,22
06.01.2020 15:00 - 06.01.2020 16:00;43,28
06.01.2020 16:00 - 06.01.2020 17:00;43,68
06.01.2020 17:00 - 06.01.2020 18:00;47,9
06.01.2020 18:00 - 06.01.2020 19:00;48,91
06.01.2020 19:00 - 06.01.2020 20:00;49,01
06.01.2020 20:00 - 06.01.2020 21:00;47,03
06.01.2020 21:00 - 06.01.2020 22:00;40,41
06.01.2020 22:00 - 06.01.2020 23:00;38,26
06.01.2020 23:00 - 07.01.2020 00:00;35,91
07.01.2020 00:00 - 07.01.2020 01:00;32,1
07.01.2020 01:00 - 07.01.2020 02:00;31,07
07.01.2020 02:00 - 07.01.2020 03:00;29,99
07.01.2020 03:00 - 07.01.2020 04:00;29,05
07.01.2020 04:00 - 07.01.2020 05:00;29,65
07.01.2020 05:00 - 07.01.2020 06:00;31,79
07.01.2020 06:00 - 07.01.2020 07:00;40,87
07.01.2020 07:00 - 07.01.2020 08:00;49,01
07.01.2020 08:00 - 07.01.2020 09:00;51,09
07.01.2020 09:00 - 07.01.2020 10:00;51,12
07.01.2020 10:00 - 07.01.2020 11:00;49,83
07.01.2020 11:00 - 07.01.2020 12:00;49,16
07.01.2020 12:00 - 07.01.2020 13:00;48,43
07.01.2020 13:00 - 07.01.2020 14:00;47,99
07.01.2020 14:00 - 07.01.2020 15:00;47,24
07.01.2020 15:00 - 07.01.2020 16:00;45,48
07.01.2020 16:00 - 07.01.2020 17:00;45,9
07.01.2020 17:00 - 07.01.2020 18:00;47,96
07.01.2020 18:00 - 07.01.2020 19:00;48,11
07.01.2020 19:00 - 07.01.2020 20:00;49,05
07.01.2020 20:00 - 07.01.2020 21:00;47,34
07.01.2020 21:00 - 07.01.2020 22:00;35,31
07.01.2020 22:00 - 07.01.2020 23:00;35,21
07.01.2020 23:00 - 08.01.2020 00:00;34,52
08.01.2020 00:00 - 08.01.2020 01:00;28,9
08.01.2020 01:00 - 08.01.2020 02:00;27,28
08.01.2020 02:00 - 08.01.2020 03:00;26,16
08.01.2020 03:00 - 08.01.2020 04:00;20,86
08.01.2020 04:00 - 08.01.2020 05:00;20,35
08.01.2020 05:00 - 08.01.2020 06:00;28,52
08.01.2020 06:00 - 08.01.2020 07:00;33,05
08.01.2020 07:00 - 08.01.2020 08:00;41,17
08.01.2020 08:00 - 08.01.2020 09:00;44,5
08.01.2020 09:00 - 08.01.2020 10:00;43,9
08.01.2020 10:00 - 08.01.2020 11:00;43,74
08.01.2020 11:00 - 08.01.2020 12:00;43,76
08.01.2020 12:00 - 08.01.2020 13:00;44,5
08.01.2020 13:00 - 08.01.2020 14:00;44,95
08.01.2020 14:00 - 08.01.2020 15:00;46,04
08.01.2020 15:00 - 08.01.2020 16:00;46,33
08.01.2020 16:00 - 08.01.2020 17:00;47,9
08.01.2020 17:00 - 08.01.2020 18:00;53,53
08.01.2020 18:00 - 08.01.2020 19:00;55,92
08.01.2020 19:00 - 08.01.2020 20:00;54,94
08.01.2020 20:00 - 08.01.2020 21:00;48,1
08.01.2020 21:00 - 08.01.2020 22:00;44,92
08.01.2020 22:00 - 08.01.2020 23:00;41,67
08.01.2020 23:00 - 09.01.2020 00:00;39,41
09.01.2020 00:00 - 09.01.2020 01:00;34,08
09.01.2020 01:00 - 09.01.2020 02:00;32,2
09.01.2020 02:00 - 09.01.2020 03:00;32,56
09.01.2020 03:00 - 09.01.2020 04:00;30,42
09.01.2020 04:00 - 09.01.2020 05:00;28,8
09.01.2020 05:00 - 09.01.2020 06:00;28,87
09.01.2020 06:00 - 09.01.2020 07:00;34,99
09.01.2020 07:00 - 09.01.2020 08:00;46,16
09.01.2020 08:00 - 09.01.2020 09:00;47,51
09.01.2020 09:00 - 09.01.2020 10:00;45,68
09.01.2020 10:00 - 09.01.2020 11:00;43,61
09.01.2020 11:00 - 09.01.2020 12:00;40,17
09.01.2020 12:00 - 09.01.2020 13:00;37,67
09.01.2020 13:00 - 09.01.2020 14:00;34,04
09.01.2020 14:00 - 09.01.2020 15:00;32,9
09.01.2020 15:00 - 09.01.2020 16:00;32,54
09.01.2020 16:00 - 09.01.2020 17:00;33,21
09.01.2020 17:00 - 09.01.2020 18:00;42,85
09.01.2020 18:00 - 09.01.2020 19:00;44,23
09.01.2020 19:00 - 09.01.2020 20:00;41,6
09.01.2020 20:00 - 09.01.2020 21:00;33,89
09.01.2020 21:00 - 09.01.2020 22:00;31,34
09.01.2020 22:00 - 09.01.2020 23:00;31,3
09.01.2020 23:00 - 10.01.2020 00:00;30,12
10.01.2020 00:00 - 10.01.2020 01:00;27,81
10.01.2020 01:00 - 10.01.2020 02:00;27,62
10.01.2020 02:00 - 10.01.2020 03:00;27,54
10.01.2020 03:00 - 10.01.2020 04:00;26,47
10.01.2020 04:00 - 10.01.2020 05:00;26,7
10.01.2020 05:00 - 10.01.2020 06:00;28,2
10.01.2020 06:00 - 10.01.2020 07:00;32
10.01.2020 07:00 - 10.01.2020 08:00;43,66
10.01.2020 08:00 - 10.01.2020 09:00;47,4
10.01.2020 09:00 - 10.01.2020 10:00;47,92
10.01.2020 10:00 - 10.01.2020 11:00;46,87
10.01.2020 11:00 - 10.01.2020 12:00;44,2
10.01.2020 12:00 - 10.01.2020 13:00;41,6
10.01.2020 13:00 - 10.01.2020 14:00;38,01
10.01.2020 14:00 - 10.01.2020 15:00;36,21
10.01.2020 15:00 - 10.01.2020 16:00;36,27
10.01.2020 16:00 - 10.01.2020 17:00;40,62
10.01.2020 17:00 - 10.01.2020 18:00;47,3
10.01.2020 18:00 - 10.01.2020 19:00;49,97
10.01.2020 19:00 - 10.01.2020 20:00;47,36
10.01.2020 20:00 - 10.01.2020 21:00;45,21
10.01.2020 21:00 - 10.01.2020 22:00;41,56
10.01.2020 22:00 - 10.01.2020 23:00;39,9
10.01.2020 23:00 - 11.01.2020 00:00;33,12
11.01.2020 00:00 - 11.01.2020 01:00;35,01
11.01.2020 01:00 - 11.01.2020 02:00;34
11.01.2020 02:00 - 11.01.2020 03:00;31,43
11.01.2020 03:00 - 11.01.2020 04:00;29,14
11.01.2020 04:00 - 11.01.2020 05:00;28,86
11.01.2020 05:00 - 11.01.2020 06:00;28,43
11.01.2020 06:00 - 11.01.2020 07:00;29,32
11.01.2020 07:00 - 11.01.2020 08:00;31,32
11.01.2020 08:00 - 11.01.2020 09:00;35,68
11.01.2020 09:00 - 11.01.2020 10:00;40
11.01.2020 10:00 - 11.01.2020 11:00;38,08
11.01.2020 11:00 - 11.01.2020 12:00;37,9
11.01.2020 12:00 - 11.01.2020 13:00;38,6
11.01.2020 13:00 - 11.01.2020 14:00;33,06
11.01.2020 14:00 - 11.01.2020 15:00;31,59
11.01.2020 15:00 - 11.01.2020 16:00;32,51
11.01.2020 16:00 - 11.01.2020 17:00;33,71
11.01.2020 17:00 - 11.01.2020 18:00;41,05
11.01.2020 18:00 - 11.01.2020 19:00;44,62
11.01.2020 19:00 - 11.01.2020 20:00;44,65
11.01.2020 20:00 - 11.01.2020 21:00;40,15
11.01.2020 21:00 - 11.01.2020 22:00;29,38
11.01.2020 22:00 - 11.01.2020 23:00;36,08
11.01.2020 23:00 - 12.01.2020 00:00;39,13
12.01.2020 00:00 - 12.01.2020 01:00;25,26
12.01.2020 01:00 - 12.01.2020 02:00;23,53
12.01.2020 02:00 - 12.01.2020 03:00;24,15
12.01.2020 03:00 - 12.01.2020 04:00;20,65
12.01.2020 04:00 - 12.01.2020 05:00;20,57
12.01.2020 05:00 - 12.01.2020 06:00;21,04
12.01.2020 06:00 - 12.01.2020 07:00;20,64
12.01.2020 07:00 - 12.01.2020 08:00;29,6
12.01.2020 08:00 - 12.01.2020 09:00;28,8
12.01.2020 09:00 - 12.01.2020 10:00;27,47
12.01.2020 10:00 - 12.01.2020 11:00;30,25
12.01.2020 11:00 - 12.01.2020 12:00;28,93
12.01.2020 12:00 - 12.01.2020 13:00;33,53
12.01.2020 13:00 - 12.01.2020 14:00;26,72
12.01.2020 14:00 - 12.01.2020 15:00;24,31
12.01.2020 15:00 - 12.01.2020 16:00;25,33
12.01.2020 16:00 - 12.01.2020 17:00;27,36
12.01.2020 17:00 - 12.01.2020 18:00;33,73
12.01.2020 18:00 - 12.01.2020 19:00;38,91
12.01.2020 19:00 - 12.01.2020 20:00;40,87
12.01.2020 20:00 - 12.01.2020 21:00;38,11
12.01.2020 21:00 - 12.01.2020 22:00;30,38
12.01.2020 22:00 - 12.01.2020 23:00;35,17
12.01.2020 23:00 - 13.01.2020 00:00;37,81
13.01.2020 00:00 - 13.01.2020 01:00;30,22
13.01.2020 01:00 - 13.01.2020 02:00;26,98
13.01.2020 02:00 - 13.01.2020 03:00;25,65
13.01.2020 03:00 - 13.01.2020 04:00;25,03
13.01.2020 04:00 - 13.01.2020 05:00;25,12
13.01.2020 05:00 - 13.01.2020 06:00;27,74
13.01.2020 06:00 - 13.01.2020 07:00;38,4
13.01.2020 07:00 - 13.01.2020 08:00;48,64
13.01.2020 08:00 - 13.01.2020 09:00;52,93
13.01.2020 09:00 - 13.01.2020 10:00;49,89
13.01.2020 10:00 - 13.01.2020 11:00;48,89
13.01.2020 11:00 - 13.01.2020 12:00;47,2
13.01.2020 12:00 - 13.01.2020 13:00;47
13.01.2020 13:00 - 13.01.2020 14:00;45,95
13.01.2020 14:00 - 13.01.2020 15:00;45
13.01.2020 15:00 - 13.01.2020 16:00;42,97
13.01.2020 16:00 - 13.01.2020 17:00;43,68
13.01.2020 17:00 - 13.01.2020 18:00;46,81
13.01.2020 18:00 - 13.01.2020 19:00;45,27
13.01.2020 19:00 - 13.01.2020 20:00;42,57
13.01.2020 20:00 - 13.01.2020 21:00;34,03
13.01.2020 21:00 - 13.01.2020 22:00;29,23
13.01.2020 22:00 - 13.01.2020 23:00;28,67
13.01.2020 23:00 - 14.01.2020 00:00;26,76
14.01.2020 00:00 - 14.01.2020 01:00;24,38
14.01.2020 01:00 - 14.01.2020 02:00;19,53
14.01.2020 02:00 - 14.01.2020 03:00;15,35
14.01.2020 03:00 - 14.01.2020 04:00;9,38
14.01.2020 04:00 - 14.01.2020 05:00;8,66
14.01.2020 05:00 - 14.01.2020 06:00;17,29
14.01.2020 06:00 - 14.01.2020 07:00;28,44
14.01.2020 07:00 - 14.01.2020 08:00;36,73
14.01.2020 08:00 - 14.01.2020 09:00;39,06
14.01.2020 09:00 - 14.01.2020 10:00;39,11
14.01.2020 10:00 - 14.01.2020 11:00;38,86
14.01.2020 11:00 - 14.01.2020 12:00;39,06
14.01.2020 12:00 - 14.01.2020 13:00;37,75
14.01.2020 13:00 - 14.01.2020 14:00;35,46
14.01.2020 14:00 - 14.01.2020 15:00;35,82
14.01.2020 15:00 - 14.01.2020 16:00;32,99
14.01.2020 16:00 - 14.01.2020 17:00;32,69
14.01.2020 17:00 - 14.01.2020 18:00;38,77
14.01.2020 18:00 - 14.01.2020 19:00;39,37
14.01.2020 19:00 - 14.01.2020 20:00;39,25
14.01.2020 20:00 - 14.01.2020 21:00;32,56
14.01.2020 21:00 - 14.01.2020 22:00;31,1
14.01.2020 22:00 - 14.01.2020 23:00;32,13
14.01.2020 23:00 - 15.01.2020 00:00;29,55
15.01.2020 00:00 - 15.01.2020 01:00;24,95
15.01.2020 01:00 - 15.01.2020 02:00;19,36
15.01.2020 02:00 - 15.01.2020 03:00;16,01
15.01.2020 03:00 - 15.01.2020 04:00;11,09
15.01.2020 04:00 - 15.01.2020 05:00;10,52
15.01.2020 05:00 - 15.01.2020 06:00;19,15
15.01.2020 06:00 - 15.01.2020 07:00;30,02
15.01.2020 07:00 - 15.01.2020 08:00;38,53
15.01.2020 08:00 - 15.01.2020 09:00;41,64
15.01.2020 09:00 - 15.01.2020 10:00;39,54
15.01.2020 10:00 - 15.01.2020 11:00;35,24
15.01.2020 11:00 - 15.01.2020 12:00;34,06
15.01.2020 12:00 - 15.01.2020 13:00;32
15.01.2020 13:00 - 15.01.2020 14:00;31,27
15.01.2020 14:00 - 15.01.2020 15:00;33,47
15.01.2020 15:00 - 15.01.2020 16:00;34,46
15.01.2020 16:00 - 15.01.2020 17:00;36,54
15.01.2020 17:00 - 15.01.2020 18:00;43,32
15.01.2020 18:00 - 15.01.2020 19:00;44,14
15.01.2020 19:00 - 15.01.2020 20:00;44,25
15.01.2020 20:00 - 15.01.2020 21:00;38,02
15.01.2020 21:00 - 15.01.2020 22:00;33,4
15.01.2020 22:00 - 15.01.2020 23:00;35,42
15.01.2020 23:00 - 16.01.2020 00:00;32,39
16.01.2020 00:00 - 16.01.2020 01:00;31,17
16.01.2020 01:00 - 16.01.2020 02:00;31,18
16.01.2020 02:00 - 16.01.2020 03:00;30,8
16.01.2020 03:00 - 16.01.2020 04:00;29,9
16.01.2020 04:00 - 16.01.2020 05:00;29,72
16.01.2020 05:00 - 16.01.2020 06:00;31,1
16.01.2020 06:00 - 16.01.2020 07:00;38,7
16.01.2020 07:00 - 16.01.2020 08:00;45,42
16.01.2020 08:00 - 16.01.2020 09:00;52,4
16.01.2020 09:00 - 16.01.2020 10:00;47
16.01.2020 10:00 - 16.01.2020 11:00;43,51
16.01.2020 11:00 - 16.01.2020 12:00;42,1
16.01.2020 12:00 - 16.01.2020 13:00;40,36
16.01.2020 13:00 - 16.01.2020 14:00;40,08
16.01.2020 14:00 - 16.01.2020 15:00;36,81
16.01.2020 15:00 - 16.01.2020 16:00;32,49
16.01.2020 16:00 - 16.01.2020 17:00;32,87
16.01.2020 17:00 - 16.01.2020 18:00;40,84
16.01.2020 18:00 - 16.01.2020 19:00;43,15
16.01.2020 19:00 - 16.01.2020 20:00;40,45
16.01.2020 20:00 - 16.01.2020 21:00;35,39
16.01.2020 21:00 - 16.01.2020 22:00;31,14
16.01.2020 22:00 - 16.01.2020 23:00;32,17
16.01.2020 23:00 - 17.01.2020 00:00;32,68
17.01.2020 00:00 - 17.01.2020 01:00;27,6
17.01.2020 01:00 - 17.01.2020 02:00;27,42
17.01.2020 02:00 - 17.01.2020 03:00;26,86
17.01.2020 03:00 - 17.01.2020 04:00;25,71
